params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.7214653901617822,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.7832442383193836,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.7454620533467136,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",0.9720198695667079,100,0.00015789129264243238,0.0,0.0,0.006369426751592357,0.0009110151300347798
"{""discount_factor"": 0.4}",0.9718448214284479,100,0.0001098901098901099,0.0,0.0,0.01098901098901099,0.001093392788029253
"{""discount_factor"": 0.5}",1.083511106579948,100,0.0034465685983547873,0.0,0.0,0.03571428571428571,0.007143898675138467
"{""discount_factor"": 0.6}",0.9595734980966029,100,0.010824516998305896,0.009980139026812314,0.0,0.038461538461538464,0.0106120280107252
"{""discount_factor"": 0.7}",0.9425979965003108,100,0.009463502049349853,0.007816301703163017,0.0,0.038461538461538464,0.010250848268343039
"{""discount_factor"": 0.8}",0.9884920276152798,100,0.01136745268175762,0.011302681992337166,0.0,0.037037037037037035,0.010296441621669698
"{""discount_factor"": 0.9}",1.0638858378361675,100,0.014037581437361361,0.01482213438735178,0.0,0.043478260869565216,0.01104616299310536
