step,reward,mean,median,std,max,min
0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655
1,0.018518518518518517,0.026500638569604086,0.026500638569604086,0.007982120051085569,0.034482758620689655,0.018518518518518517
2,0.013157894736842105,0.02205305729201676,0.018518518518518517,0.009057489651192109,0.034482758620689655,0.013157894736842105
3,0.0,0.01653979296901257,0.01583820662768031,0.012357865494170976,0.034482758620689655,0.0
4,0.0,0.013231834375210055,0.013157894736842105,0.012881918796936462,0.034482758620689655,0.0
5,0.021739130434782608,0.014649717051805481,0.01583820662768031,0.012179428681127362,0.034482758620689655,0.0
6,0.01818181818181818,0.01515430292752158,0.01818181818181818,0.011343496488188656,0.034482758620689655,0.0
7,0.006802721088435374,0.014110355197635805,0.015669856459330143,0.010964457877364046,0.034482758620689655,0.0
8,0.017241379310344827,0.014458246765714586,0.017241379310344827,0.010384115794284752,0.034482758620689655,0.0
9,0.047619047619047616,0.01777432685104789,0.017711598746081504,0.014000512809797352,0.047619047619047616,0.0
10,0.023809523809523808,0.018322981120000244,0.01818181818181818,0.013461243881216107,0.047619047619047616,0.0
11,0.012658227848101266,0.017850918347342,0.017711598746081504,0.012982909489083755,0.047619047619047616,0.0
12,0.027777777777777776,0.01861452291891398,0.01818181818181818,0.012750968616389925,0.047619047619047616,0.0
13,0.016129032258064516,0.018436987871710445,0.017711598746081504,0.012303803159573587,0.047619047619047616,0.0
14,0.0,0.01720785534692975,0.017241379310344827,0.012745276330162359,0.047619047619047616,0.0
15,0.016666666666666666,0.017174031054413307,0.01695402298850575,0.012341256041339477,0.047619047619047616,0.0
16,0.010101010101010102,0.016757970998330766,0.016666666666666666,0.012087889989472704,0.047619047619047616,0.0
17,0.011764705882352941,0.016480567380776443,0.01639784946236559,0.011802866839767188,0.047619047619047616,0.0
18,0.013888888888888888,0.016344163249624465,0.016129032258064516,0.011502634167929965,0.047619047619047616,0.0
19,0.015384615384615385,0.01629618585637401,0.01575682382133995,0.011213331259539577,0.047619047619047616,0.0
20,0.0,0.015520177006070487,0.015384615384615385,0.011480201690069353,0.047619047619047616,0.0
21,0.0,0.014814714414885466,0.014636752136752137,0.011672856310400215,0.047619047619047616,0.0
22,0.0,0.014170596396846967,0.013888888888888888,0.011809274130878433,0.047619047619047616,0.0
23,0.012048192771084338,0.01408216291244019,0.013523391812865496,0.011568406837269668,0.047619047619047616,0.0
24,0.0,0.013518876395942583,0.013157894736842105,0.011665758272590613,0.047619047619047616,0.0
25,0.021739130434782608,0.013835040012821044,0.013523391812865496,0.011547929439909586,0.047619047619047616,0.0
26,0.029411764705882353,0.014411955742193686,0.013888888888888888,0.011707657240666748,0.047619047619047616,0.0
27,0.0,0.01389724303711534,0.013523391812865496,0.011803685682481161,0.047619047619047616,0.0
28,0.02631578947368421,0.014325468776307372,0.013888888888888888,0.011817663917747972,0.047619047619047616,0.0
29,0.02127659574468085,0.014557173008586487,0.014636752136752137,0.011685840141392198,0.047619047619047616,0.0
30,0.02040816326530612,0.014745914629770991,0.015384615384615385,0.011542202445252303,0.047619047619047616,0.0
31,0.01818181818181818,0.014853286615772466,0.01575682382133995,0.0113761428949657,0.047619047619047616,0.0
32,0.019230769230769232,0.0149859376041057,0.016129032258064516,0.011227555045623951,0.047619047619047616,0.0
33,0.0,0.01454517473339671,0.01575682382133995,0.011347307048990705,0.047619047619047616,0.0
34,0.011111111111111112,0.014447058629902835,0.015384615384615385,0.011198651300170871,0.047619047619047616,0.0
35,0.0,0.014045751445738866,0.014636752136752137,0.011294372342056377,0.047619047619047616,0.0
36,0.0,0.013666136541799979,0.013888888888888888,0.011371150830448483,0.047619047619047616,0.0
37,0.010101010101010102,0.013572317424937086,0.013523391812865496,0.011235035994426892,0.047619047619047616,0.0
38,0.015873015873015872,0.013631309692836543,0.013888888888888888,0.011096022357514918,0.047619047619047616,0.0
39,0.0136986301369863,0.013632992703940288,0.013793759512937594,0.010956449234265534,0.047619047619047616,0.0
40,0.045454545454545456,0.014409128136881878,0.013888888888888888,0.011883237402529681,0.047619047619047616,0.0
41,0.0,0.014066053657432308,0.013793759512937594,0.011944658247508334,0.047619047619047616,0.0
42,0.0,0.013738936130515278,0.0136986301369863,0.011993793705252028,0.047619047619047616,0.0
43,0.014925373134328358,0.013765900607874667,0.013793759512937594,0.011858035634892222,0.047619047619047616,0.0
44,0.038461538461538464,0.014314692560178307,0.013888888888888888,0.012277616637059185,0.047619047619047616,0.0
45,0.011111111111111112,0.014245049485198584,0.013793759512937594,0.012152414315265854,0.047619047619047616,0.0
46,0.019230769230769232,0.014351128628721364,0.013888888888888888,0.012043946577179058,0.047619047619047616,0.0
47,0.0,0.01405214678228967,0.013793759512937594,0.012092806639535787,0.047619047619047616,0.0
48,0.025,0.01427557235816131,0.013888888888888888,0.01206845790656535,0.047619047619047616,0.0
49,0.0,0.013990060910998083,0.013793759512937594,0.01211317651379231,0.047619047619047616,0.0
50,0.03571428571428571,0.014416026103219409,0.013888888888888888,0.012366257412834002,0.047619047619047616,0.0
51,0.02702702702702703,0.01465854535175417,0.014407131011608624,0.01236863229819772,0.047619047619047616,0.0
52,0.0,0.014381969024362581,0.013888888888888888,0.012412667085613286,0.047619047619047616,0.0
53,0.0,0.014115636264652164,0.013793759512937594,0.012449117747236052,0.047619047619047616,0.0
54,0.006802721088435374,0.013982674170539132,0.0136986301369863,0.012374060223507306,0.047619047619047616,0.0
55,0.0,0.013732983560350933,0.013428262436914203,0.012402101627300604,0.047619047619047616,0.0
56,0.008403361344537815,0.01363948141621386,0.013157894736842105,0.012312727354172454,0.047619047619047616,0.0
57,0.0,0.013404317943520518,0.012908061292471684,0.012334569778978432,0.047619047619047616,0.0
58,0.02,0.01351610916481678,0.013157894736842105,0.01225919174840264,0.047619047619047616,0.0
59,0.01282051282051282,0.013504515892411714,0.012989203778677462,0.012156928715180218,0.047619047619047616,0.0
60,0.0,0.013283130385978734,0.01282051282051282,0.012178210313316071,0.047619047619047616,0.0
61,0.0,0.013068886347495206,0.012739370334307044,0.012194944030284703,0.047619047619047616,0.0
62,0.021739130434782608,0.01320650926951564,0.01282051282051282,0.01214620773146216,0.047619047619047616,0.0
63,0.006329113924050633,0.013099049967242753,0.012739370334307044,0.01208108823530469,0.047619047619047616,0.0
64,0.0,0.012897526121592864,0.012658227848101266,0.01209571932409305,0.047619047619047616,0.0
65,0.009433962264150943,0.012845047881328592,0.012353210309592803,0.012011189354431628,0.047619047619047616,0.0
66,0.0,0.01265333074877145,0.012048192771084338,0.012022531608171301,0.047619047619047616,0.0
67,0.014705882352941176,0.01268351533118571,0.012353210309592803,0.011936360572495036,0.047619047619047616,0.0
68,0.0,0.012499696268414903,0.012048192771084338,0.01194610842097061,0.047619047619047616,0.0
69,0.012048192771084338,0.012493246218453038,0.012048192771084338,0.011860593146558508,0.047619047619047616,0.0
70,0.021739130434782608,0.012623469939809792,0.012048192771084338,0.011827063275711317,0.047619047619047616,0.0
71,0.008333333333333333,0.012563884709164285,0.012048192771084338,0.011755370445264264,0.047619047619047616,0.0
72,0.0,0.012391776699449705,0.012048192771084338,0.011765562543695667,0.047619047619047616,0.0
73,0.0,0.01222432025756525,0.01190644932671864,0.011773056028615558,0.047619047619047616,0.0
74,0.0,0.012061329320797714,0.011764705882352941,0.011778058879722391,0.047619047619047616,0.0
75,0.03571428571428571,0.012372552431238346,0.01190644932671864,0.01200674225205742,0.047619047619047616,0.0
76,0.01694915254237288,0.012431988796318013,0.012048192771084338,0.011939770155209112,0.047619047619047616,0.0
77,0.015151515151515152,0.012466854518820542,0.012048192771084338,0.011866930769896073,0.047619047619047616,0.0
78,0.0,0.01230904623377218,0.012048192771084338,0.011873665504585209,0.047619047619047616,0.0
79,0.0,0.012155183155850029,0.01190644932671864,0.011878209766265647,0.047619047619047616,0.0
80,0.025,0.012313761141580275,0.012048192771084338,0.011889564775538725,0.047619047619047616,0.0
81,0.0,0.012163593322780516,0.01190644932671864,0.011893881075686112,0.047619047619047616,0.0
82,0.012987012987012988,0.01217351404162669,0.012048192771084338,0.011822355395207297,0.047619047619047616,0.0
83,0.016129032258064516,0.01222060354420333,0.012048192771084338,0.011759601492222497,0.047619047619047616,0.0
84,0.013157894736842105,0.012231630499410845,0.012048192771084338,0.011690659554083367,0.047619047619047616,0.0
85,0.0,0.012089402237789787,0.012048192771084338,0.01169622895396018,0.047619047619047616,0.0
86,0.04,0.012410213706320939,0.012048192771084338,0.012003351925309092,0.047619047619047616,0.0
87,0.0,0.012269188550567293,0.012048192771084338,0.012007224647838046,0.047619047619047616,0.0
88,0.0,0.012131332499437323,0.012048192771084338,0.012009408603372953,0.047619047619047616,0.0
89,0.0,0.011996539916110242,0.01190644932671864,0.012010013724578836,0.047619047619047616,0.0
90,0.0,0.011864709807141997,0.011764705882352941,0.012009142183548354,0.047619047619047616,0.0
91,0.022727272727272728,0.011982781143230375,0.01190644932671864,0.011996687427968352,0.047619047619047616,0.0
92,0.011494252873563218,0.011977528151083418,0.011764705882352941,0.011932121166336903,0.047619047619047616,0.0
93,0.0,0.01185010763883785,0.01162947937795808,0.011931924788974096,0.047619047619047616,0.0
94,0.03225806451612903,0.012064928237546176,0.011764705882352941,0.01205031495388601,0.047619047619047616,0.0
95,0.005376344086021506,0.011995255485967795,0.01162947937795808,0.01200660831160441,0.047619047619047616,0.0
96,0.006535947712418301,0.01193897396252914,0.011494252873563218,0.011957280715864084,0.047619047619047616,0.0
97,0.0,0.011817147697605373,0.011302681992337166,0.011956473417049815,0.047619047619047616,0.0
98,0.022727272727272728,0.011927350980733326,0.011494252873563218,0.011945854122412504,0.047619047619047616,0.0
99,0.018518518518518517,0.011993262656111179,0.01162947937795808,0.011904053383322028,0.047619047619047616,0.0
