params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.857492861819047,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.5684335628195214,100,-2.6985576923076917,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.2}",1.6161146238292474,100,-4.310096153846154,-13.375,-13.375,6.769230769230769,10.021628272780621
"{""discount_factor"": 0.3}",1.6174319732798352,100,-3.302884615384616,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.4}",1.5707579199664536,100,-2.4971153846153844,6.769230769230769,-13.375,6.769230769230769,10.039832880469248
"{""discount_factor"": 0.5}",1.6038141258076735,100,-3.7057692307692305,-13.375,-13.375,6.769230769230769,10.064054466649727
"{""discount_factor"": 0.6}",1.6533142768107325,100,-2.0942307692307693,6.769230769230769,-13.375,6.769230769230769,9.999333187827249
"{""discount_factor"": 0.7}",1.706426639120636,100,-3.302884615384615,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.8}",1.7450116089616898,100,-4.5115384615384615,-13.375,-13.375,6.769230769230769,9.999333187827249
"{""discount_factor"": 0.9}",1.8636881552683349,100,-1.6913461538461538,6.769230769230769,-13.375,6.769230769230769,9.942356466551988
