episode,length,time,reward,delta
0,500.0,0.030869386517224484,-1788.0,-0.5000393163669161
1,64.0,0.004067144105647458,-63.0,99.99989398483474
2,111.0,0.007042000652745628,-11.0,49.99994699241737
3,46.0,0.0028767526455339976,-45.0,24.999973496208682
4,51.0,0.0031912622125673806,49.0,12.499986748104334
5,43.0,0.00265746157083413,57.0,6.249993374052167
6,41.0,0.0025269769698752498,59.0,3.1249966870260835
7,60.0,0.0037263452577462886,-257.0,1.5624983435130417
8,56.0,0.0034618494441929215,44.0,0.7812491717565138
9,57.0,0.0035545031291803753,-56.0,0.3906245858782569
10,20.0,0.0012772743275490939,80.0,0.19531229293912133
11,16.0,0.001067921883532108,84.0,0.09765614646956067
12,87.0,0.00539218797985086,-185.0,0.04882807323477323
13,35.0,0.0021861781219740806,65.0,0.024414036617386614
14,45.0,0.0028196856701470097,55.0,0.012207018308686202
15,15.0,0.0009698179819679353,85.0,0.006103509154343101
16,19.0,0.00120257429762205,81.0,0.0030517545771715504
17,14.0,0.0009053771836988744,86.0,0.0015258772885857752
18,24.0,0.0015151602588048263,76.0,0.000762938644299993
19,19.0,0.0012275811745894316,81.0,0.0003814693221499965
20,13.0,0.0008624166516710829,87.0,0.00019073466107499826
21,17.0,0.0011047909970329783,83.0,9.536733054460456e-05
22,14.0,0.000977191804395261,86.0,4.768366527230228e-05
23,12.0,0.0008075938831098028,88.0,2.3841832643256566e-05
24,26.0,0.0016568658943469927,-25.0,1.1920916321628283e-05
25,12.0,0.0007957316470310616,88.0,5.960458167919569e-06
26,22.0,0.0014164151552904514,-21.0,2.9802290839597845e-06
27,18.0,0.001149995736341225,-17.0,1.4901145419798922e-06
28,16.0,0.0010195111344728502,84.0,7.450572638845188e-07
29,25.0,0.0015571589879073144,-24.0,3.725286319422594e-07
30,12.0,0.0007880372227191401,88.0,1.862643159711297e-07
31,12.0,0.0007918844348751009,88.0,9.313215798556485e-08
32,14.0,0.0009124304056058463,86.0,4.6566071887355065e-08
33,13.0,0.0008560046321690606,87.0,2.3283035943677532e-08
34,14.0,0.0009377578835483291,86.0,1.1641517971838766e-08
35,19.0,0.0012080245141987689,-18.0,5.820766091346741e-09
36,12.0,0.0007954110460559605,88.0,2.9103830456733704e-09
37,12.0,0.0007899608290244942,88.0,1.4551915228366852e-09
38,12.0,0.000810799892860814,88.0,7.275957614183426e-10
39,14.0,0.0009066595875992789,86.0,3.637978807091713e-10
40,12.0,0.0007928462378004042,88.0,1.8189894035458565e-10
41,14.0,0.0009073007900042285,86.0,9.094947017729282e-11
42,12.0,0.0007857930158934323,88.0,4.547473508864641e-11
43,16.0,0.0010842725337170123,84.0,2.2737367544323206e-11
44,12.0,0.0008168913118424825,88.0,1.1368683772161603e-11
45,14.0,0.0009175600212074642,86.0,5.6843418860808015e-12
46,12.0,0.0007857930163481797,88.0,2.8421709430404007e-12
47,12.0,0.0007902814299995953,88.0,1.4210854715202004e-12
48,36.0,0.0022967854624766915,-134.0,7.105427357601002e-13
49,14.0,0.0009188424251078686,86.0,3.552713678800501e-13
50,12.0,0.0007989376563273254,88.0,1.7053025658242404e-13
51,12.0,0.0007928462378004042,88.0,8.526512829121202e-14
52,28.0,0.0017562522002663172,-27.0,4.263256414560601e-14
53,14.0,0.0009650089673414186,86.0,2.842170943040401e-14
54,12.0,0.0008649814599266392,88.0,1.4210854715202004e-14
55,14.0,0.0009255750460397394,86.0,0.0
56,16.0,0.0010573420508990239,84.0,0.0
57,16.0,0.0010608686616251362,84.0,0.0
58,16.0,0.0010377853914178559,84.0,0.0
59,12.0,0.0007954110456012131,88.0,0.0
60,14.0,0.0010021986813626427,86.0,0.0
61,17.0,0.0010948523663500964,-16.0,0.0
62,12.0,0.0008031054694583872,88.0,0.0
63,13.0,0.0008685080701980041,87.0,0.0
64,12.0,0.0008111204938359151,88.0,0.0
65,14.0,0.0009361548782180762,86.0,0.0
66,22.0,0.0014738027316525404,-21.0,0.0
67,12.0,0.0008140059030665725,88.0,0.0
68,13.0,0.0008893471344890713,87.0,0.0
69,16.0,0.0010890815487982763,84.0,0.0
70,12.0,0.000875561292104976,88.0,0.0
71,28.0,0.0018152427815039118,-27.0,0.0
72,14.0,0.0009383990854985313,86.0,0.0
73,18.0,0.0012323901892159483,-17.0,0.0
74,12.0,0.0007899608290244942,88.0,0.0
75,21.0,0.0013853168597961485,-20.0,0.0
76,15.0,0.0009669325731920253,-14.0,0.0
77,19.0,0.0012105893219995778,-18.0,0.0
78,12.0,0.0007880372231738875,88.0,0.0
79,15.0,0.0010474034206708893,-14.0,0.0
80,14.0,0.00090698018857438,86.0,0.0
81,12.0,0.0007877166221987864,88.0,0.0
82,12.0,0.0007950904450808594,88.0,0.0
83,12.0,0.0007906020309746964,88.0,0.0
84,12.0,0.0007822664056220674,88.0,0.0
85,12.0,0.0007864342178436345,88.0,0.0
86,14.0,0.0009598793517398008,86.0,0.0
87,14.0,0.0009082625929295318,86.0,0.0
88,14.0,0.0009226896372638294,86.0,0.0
