steps,time,reward,delta,converged
1,0.0023734090977995947,0.0,0,False
2,0.002954338084009578,0.0,5.744485082640095e-05,False
3,0.00265938517691211,0.0,5.744485082640095e-05,False
4,0.003172346754354294,0.0,5.744485082640095e-05,False
5,0.0015347169187407417,0.0,5.744485082640095e-05,False
6,0.0006706972621941532,0.0,5.744485082640095e-05,False
7,0.004156591780656527,0.0,6.169253442611387e-05,False
8,0.0019495745946187526,0.0,6.169253442611387e-05,False
9,0.0013654395984303846,0.0,6.169253442611387e-05,False
10,0.0016517362787453749,0.0,6.169253442611387e-05,False
11,0.0025561516597463196,0.0,6.169253442611387e-05,False
12,0.002496519876331149,0.0,6.169253442611387e-05,False
13,0.0014346894113259623,0.0,6.169253442611387e-05,False
14,0.0013449211353417923,0.0,6.169253442611387e-05,False
15,0.002541724615412022,0.0,6.169253442611387e-05,False
16,0.0007845106122204015,0.0,7.273489506335374e-05,False
17,0.0006732620702223358,0.0,7.95525878792994e-05,False
18,0.004539068756685083,0.0,7.95525878792994e-05,False
19,0.0012638090861400997,0.0,7.95525878792994e-05,False
20,0.004584914697716158,0.0,7.95525878792994e-05,False
21,0.0006742238729202654,0.0,7.95525878792994e-05,False
22,0.0016764225547376554,0.0,7.95525878792994e-05,False
23,0.0022563897380223352,0.0,7.95525878792994e-05,False
24,0.0007864342180710082,0.0,9.08394221429367e-05,False
25,0.002021389215315139,0.0,9.08394221429367e-05,False
26,0.0028546311775698996,0.0,9.08394221429367e-05,False
27,0.003578227602474726,0.0,9.08394221429367e-05,False
28,0.001607493342817179,0.0,9.08394221429367e-05,False
29,0.0023782181124261115,0.0,9.08394221429367e-05,False
30,0.0016123023576710693,0.0,9.08394221429367e-05,False
31,0.0031441338674085273,0.0,9.08394221429367e-05,False
32,0.0006081800700030726,0.0,9.08394221429367e-05,False
33,0.0004344143358139263,0.0,9.08394221429367e-05,False
34,0.0009694973809928342,0.0,9.08394221429367e-05,False
35,0.000923651439961759,0.0,9.08394221429367e-05,False
36,0.0009105067997552396,0.0,9.08394221429367e-05,False
37,0.003627920754979641,0.0,9.08394221429367e-05,False
38,0.002904003729327087,0.0,9.08394221429367e-05,False
39,0.0009121098046307452,0.0,9.08394221429367e-05,False
40,0.0009694973809928342,0.0,9.125046493236536e-05,False
41,0.0011996888888461399,0.0,9.201168243705714e-05,False
42,0.007952507452273494,0.0,9.201168243705714e-05,False
43,0.0030755252566905256,0.0,9.201168243705714e-05,False
44,0.0018976372348333825,0.0,9.201168243705714e-05,False
45,0.0016761019535351807,0.0,9.201168243705714e-05,False
46,0.0016728959440115432,0.0,9.201168243705714e-05,False
47,0.0027988466058559425,0.0,9.201168243705714e-05,False
48,0.0009678943761173286,0.0,9.201168243705714e-05,False
49,0.001076898711062313,0.0,9.630577462907168e-05,False
50,0.0012513056476564088,0.0,9.630577462907168e-05,False
51,0.0004315289268106426,0.0,9.630577462907168e-05,False
52,0.0012503438445037318,0.0,9.630577462907168e-05,False
