step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.01818181818181818,0.0006060606060606061,0.0,0.003263736246748184,0.01818181818181818,0.0
30,0.0,0.0005865102639296188,0.0,0.003212449017625607,0.01818181818181818,0.0
31,0.0,0.0005681818181818182,0.0,0.0031635024788806937,0.01818181818181818,0.0
32,0.0,0.0005509641873278236,0.0,0.0031167241044035153,0.01818181818181818,0.0
33,0.0,0.0005347593582887701,0.0,0.0030719586345123147,0.01818181818181818,0.0
34,0.0,0.0005194805194805195,0.0,0.003029065919400156,0.01818181818181818,0.0
35,0.0,0.000505050505050505,0.0,0.0029879190823735437,0.01818181818181818,0.0
36,0.0,0.0004914004914004914,0.0,0.002948402948402948,0.01818181818181818,0.0
37,0.0,0.00047846889952153106,0.0,0.0029104126939225937,0.01818181818181818,0.0
38,0.0,0.0004662004662004662,0.0,0.0028738526820368177,0.01818181818181818,0.0
39,0.0,0.00045454545454545455,0.0,0.0028386354538174536,0.01818181818181818,0.0
40,0.0,0.0004434589800443459,0.0,0.0028046808515905805,0.01818181818181818,0.0
41,0.03225806451612903,0.0012009495880463622,0.0,0.005586091321044896,0.03225806451612903,0.0
42,0.0,0.0011730205278592375,0.0,0.005523720984011388,0.03225806451612903,0.0
43,0.0,0.0011463609704078911,0.0,0.005463388321459325,0.03225806451612903,0.0
44,0.0,0.0011208862821766048,0.0,0.005404985077855259,0.03225806451612903,0.0
45,0.0,0.0010965191890858089,0.0,0.00534841085591725,0.03225806451612903,0.0
46,0.0,0.001073188993573345,0.0,0.005293572400673049,0.03225806451612903,0.0
47,0.0,0.0010508308895405669,0.0,0.005240382961354923,0.03225806451612903,0.0
48,0.0,0.0010293853611825963,0.0,0.005188761721365731,0.03225806451612903,0.0
49,0.0,0.0010087976539589442,0.0,0.005138633287931302,0.03225806451612903,0.0
50,0.0,0.0009890173078028865,0.0,0.00508992723421854,0.03225806451612903,0.0
51,0.0,0.0009699977441912926,0.0,0.005042577687684138,0.03225806451612903,0.0
52,0.0,0.0009516958999612682,0.0,0.00499652295925513,0.03225806451612903,0.0
53,0.0,0.0009340719018138372,0.0,0.004951705208654553,0.03225806451612903,0.0
54,0.0,0.000917088776326313,0.0,0.004908070141793254,0.03225806451612903,0.0
55,0.0,0.0009007121910347717,0.0,0.004865566736669298,0.03225806451612903,0.0
56,0.0,0.0008849102227710037,0.0,0.0048241469946630686,0.03225806451612903,0.0
57,0.0,0.0008696531499646071,0.0,0.004783765714500417,0.03225806451612903,0.0
58,0.0,0.0008549132660669019,0.0,0.004744380286487933,0.03225806451612903,0.0
59,0.0,0.0008406647116324536,0.0,0.0047059505049111185,0.03225806451612903,0.0
60,0.0,0.0008268833229171674,0.0,0.004668438396734855,0.03225806451612903,0.0
61,0.0,0.0008135464951281808,0.0,0.0046318080649615295,0.03225806451612903,0.0
62,0.0,0.0008006330586975748,0.0,0.004596025545190298,0.03225806451612903,0.0
63,0.0,0.0007881231671554252,0.0,0.0045610586740850645,0.03225806451612903,0.0
64,0.0,0.0007759981953530341,0.0,0.004526876968602275,0.03225806451612903,0.0
65,0.0,0.0007642406469385941,0.0,0.004493451514955438,0.03225806451612903,0.0
66,0.0,0.0007528340701186151,0.0,0.0044607548664036475,0.03225806451612903,0.0
67,0.0,0.0007417629808521649,0.0,0.004428760949048533,0.03225806451612903,0.0
68,0.0,0.0007310127927238726,0.0,0.004397444974909706,0.03225806451612903,0.0
69,0.0,0.0007205697528278173,0.0,0.004366783361624291,0.03225806451612903,0.0
