steps,time,reward,delta,converged
1,0.00587212765572076,0.0,0,False
2,0.013776865561112572,0.0,0,False
3,0.005576212945697989,0.0,0,False
4,0.03216237029300828,0.0,0,False
5,0.0016174319732726872,0.0,0,False
6,0.009192912666549091,0.0,0,False
7,0.011250529792960151,0.0,0,False
8,0.022791844680341455,0.0,0,False
9,0.005713750768791215,0.0,0,False
10,0.012419120386311988,0.0,0,False
11,0.031743344804453955,0.0,0,False
12,0.004452827091427025,0.0,0,False
13,0.008544336872091662,0.0,0,False
14,0.009704271238888396,0.0,0,False
15,0.006698957598018751,0.0,0,False
16,0.019032798121997985,0.0,0,False
17,0.010855549378675278,0.0,0,False
18,0.014781308449528296,0.0,0,False
19,0.01381116986658526,0.0,0,False
20,0.006847716455467889,0.0,0,False
21,0.01331520014173293,0.0,0,False
22,0.0044803987764225894,0.0,0,False
23,0.03193089638125457,0.0,0,False
24,0.008513559177345087,0.0,0,False
25,0.010020063209822183,0.0,0,False
26,0.002958185295938165,0.0,0,False
27,0.01865096234791963,0.0,0,False
28,0.0017524049883377302,0.0,0,False
29,0.010650685348764455,0.0,0,False
30,0.0319171105386431,0.0,0,False
31,0.008453606793182189,0.0,0,False
32,0.008419623088684602,0.0,0,False
33,0.0074834682102391525,0.0,0,False
34,0.0051860415460396325,0.0,0,False
35,0.003414721099716189,0.0,0,False
36,0.0067678868099392275,0.0,0,False
37,0.01563667187951978,0.0,0,False
38,0.016610016472441202,0.0,0,False
39,0.0059949178332772135,0.0,0,False
40,0.028034953201768076,0.0,0,False
41,0.03219250678557728,0.0,0,False
42,0.00277544273399144,0.0,0,False
43,0.018231616258617578,0.0,0,False
44,0.008692133926615497,0.0,0,False
45,0.012679768987936768,0.0,0,False
46,0.00688009715508997,0.0,0,False
47,0.011721492641299847,0.0,0,False
48,0.0022224060335247486,0.0,0,False
49,0.010513147525898603,0.0,0,False
50,0.018482967431509678,0.0,0,False
51,0.019700609975416228,0.0,0,False
52,0.010447103722754036,0.0,0,False
53,0.0036804993167152134,0.0,0,False
54,0.019351475501935056,0.0,0,False
55,0.004598059338150051,0.0,0,False
56,0.0051732175065808406,0.0,0,False
57,0.012855458327976521,0.0,0,False
58,0.005294404679261788,0.0,0,False
59,0.008510673768569177,0.0,0,False
60,0.004210132145317402,0.0,0,False
61,0.005878539675450156,0.0,0,False
62,0.01309879447626372,0.0,0,False
63,0.003672484292110312,0.0,0,False
64,0.006634837400952165,0.0,0,False
65,0.0032031244488734956,0.0,0,False
66,0.004354402588887751,0.0,0,False
67,0.011488415724443257,0.0,0,False
68,0.003970643208958791,0.0,0,False
69,0.004865761161227056,0.0,0,False
70,0.002852386970516818,0.0,0,False
71,0.013294040476466762,0.0,0,False
72,0.017444220237621266,0.0,0,False
73,0.007237567253923771,0.0,0,False
74,0.02967418604202976,0.0,0,False
75,0.016784423408807925,0.0,0,False
76,0.005624944295732348,0.0,0,False
77,0.005873089458646064,0.0,0,False
78,0.007617800023353993,0.0,0,False
79,0.006932355115623068,0.0,0,False
80,0.012540948760943138,0.0,0,False
81,0.007656913343453198,0.0,0,False
82,0.0021954755507067603,0.0,0,False
83,0.01823482226836859,0.0,0,False
84,0.014998355316947709,0.0,0,False
85,0.003932171090582415,0.0,0,False
86,0.0276768419007567,0.0,0,False
87,0.0082282242999554,0.0,0,False
88,0.02458304238780329,0.0,0,False
89,0.018166213657650587,0.0,0,False
90,0.013782956979866867,0.0,0,False
91,0.017069758285970238,0.0,0,False
92,0.013580337156781752,0.0,0,False
93,0.001840890860194122,0.0,0,False
94,0.004317212874639154,0.0,0,False
95,0.007811763619656631,0.0,0,False
96,0.006727491085712245,0.0,0,False
97,0.017477562739941277,0.0,0,False
98,0.003596181257535136,0.0,0,False
99,0.010907807339435749,0.0,0,False
100,0.019269722250555787,0.0,0,False
101,0.022463228669721502,0.0,0,False
102,0.007606578988770707,0.0,0,False
103,0.014272835286192276,0.0,0,False
104,0.01227805595249265,0.0,0,False
105,0.018529775175238683,0.0,0,False
106,0.020281859562601312,0.0,0,False
107,0.021606582835829613,0.0,0,False
108,0.01527535456853002,0.0,0,False
109,0.00214065278214548,0.0,0,False
110,0.004331960519948552,0.0,0,False
111,0.010487499446981019,0.0,0,False
112,0.00958949608570947,0.0,0,False
113,0.01846437257404432,0.0,0,False
114,0.0026090508222296194,0.0,0,False
115,0.01583480328895348,0.0,0,False
116,0.010611572028437877,0.0,0,False
117,0.02027929475457313,0.0,0,False
118,0.017810667164212646,0.0,0,False
119,0.027986542453163565,0.0,0,False
120,0.004432308628565806,0.0,0,False
121,0.0029562616898601846,0.0,0,False
122,0.004975086097374515,0.0,0,False
123,0.012199188110116665,0.0,0,False
124,0.005713750768563841,0.0,0,False
125,0.010013330589117686,0.0,0,False
126,0.012879182801043498,0.0,0,False
127,0.0020765325848515204,0.0,0,False
128,0.003179079375058791,0.0,0,False
129,0.017294499577246825,0.0,0,False
130,0.010499041082539406,0.0,0,False
131,0.01298177511648646,0.0,0,False
132,0.019020294683514294,0.0,0,False
133,0.006302374178403625,0.0,0,False
134,0.009654898686903834,0.0,0,False
135,0.004023862972644565,0.0,0,False
136,0.0029152247636829998,0.0,0,False
137,0.0034477430012884724,0.0,0,False
138,0.014128564842621927,0.0,0,False
139,0.005263947585717688,0.0,0,False
140,0.010299627269432676,0.0,0,False
141,0.01605217075712062,0.0,0,False
142,0.021722960993884044,0.0,0,False
143,0.02192846622574507,0.0,0,False
144,0.0055566562855347,0.0,0,False
145,0.010502247092290418,0.0,0,False
146,0.008729323640864095,0.0,0,False
147,0.011325550423634922,0.0,0,False
148,0.005440278127707643,0.0,0,False
149,0.02344555009017313,0.0,0,False
