episode,length,time,reward,delta
0,500.0,0.03186581438103531,-2382.0,-0.11949528133877108
1,258.0,0.016424709102921042,-752.0,100.00029322471262
2,72.0,0.0046406992692027416,-566.0,50.00014661235631
3,90.0,0.0058535327984827745,-89.0,25.00007330617815
4,97.0,0.006537695302085922,3.0,12.500036653089069
5,70.0,0.004497711229760171,-69.0,6.250018326544534
6,71.0,0.004657370520362747,-70.0,3.125009163272267
7,53.0,0.003382340399639361,47.0,1.5625045816361336
8,22.0,0.0014718791253471863,78.0,0.7812522908180597
9,110.0,0.006938446534149989,-406.0,0.39062614540902985
10,61.0,0.003974811021635105,-258.0,0.19531307270452203
11,47.0,0.003135157040105696,-46.0,0.09765653635226101
12,117.0,0.007639280289367889,-611.0,0.0488282681761234
13,57.0,0.0037362838884291705,-56.0,0.0244141340880617
14,39.0,0.0026321340933463944,-38.0,0.01220706704403085
15,26.0,0.0017780530670279404,74.0,0.00610353352200832
16,31.0,0.002060181934666616,-30.0,0.00305176676100416
17,29.0,0.001872950958841102,-28.0,0.0015258833805091854
18,73.0,0.004787213919371425,-567.0,0.0007629416902545927
19,25.0,0.0016270500027530943,-222.0,0.00038147084512729634
20,50.0,0.0033743253757165803,-544.0,0.00019073542256364817
21,28.0,0.0019351475498297077,-27.0,9.536771128182409e-05
22,17.0,0.0011935974703192187,83.0,4.768385564091204e-05
23,21.0,0.0014029499138814572,-20.0,2.384192782756145e-05
24,19.0,0.0012872129577772284,81.0,1.1920963913780724e-05
25,31.0,0.00198772611156528,-129.0,5.960481956890362e-06
26,12.0,0.0008293947503261734,88.0,2.980240978445181e-06
27,13.0,0.0009326282674919639,87.0,1.490120496328018e-06
28,17.0,0.0011156914306411636,-16.0,7.45060248164009e-07
29,33.0,0.002114684102252795,-230.0,3.725301240820045e-07
30,40.0,0.002550701442942227,-237.0,1.8626505493557488e-07
31,20.0,0.001345241736544267,80.0,9.313252746778744e-08
32,17.0,0.0011275536667199049,-16.0,4.656627083932108e-08
33,16.0,0.0010698454893827147,84.0,2.328313541966054e-08
34,22.0,0.0018707067520153942,-21.0,1.1641560604402912e-08
35,29.0,0.0027138873442709155,-226.0,5.820780302201456e-09
36,28.0,0.0020678763585237903,-126.0,2.9103830456733704e-09
37,40.0,0.0030501977789754164,60.0,1.4551915228366852e-09
38,14.0,0.001114088425765658,86.0,7.275957614183426e-10
39,12.0,0.0009592381497895985,88.0,3.637978807091713e-10
40,16.0,0.0012455348301045888,84.0,1.8189894035458565e-10
41,20.0,0.001678025559613161,80.0,9.094947017729282e-11
42,36.0,0.0028219298769727175,-134.0,4.547473508864641e-11
43,24.0,0.0015754332439428254,-23.0,2.2737367544323206e-11
44,16.0,0.0010560596474533668,84.0,1.1368683772161603e-11
45,18.0,0.0011891090562130557,82.0,5.6843418860808015e-12
46,19.0,0.0012785567314494983,-18.0,2.8421709430404007e-12
47,19.0,0.0012708623075923242,81.0,1.4210854715202004e-12
48,34.0,0.002194193146806356,-132.0,7.105427357601002e-13
49,61.0,0.0038818367361272976,-357.0,3.552713678800501e-13
50,17.0,0.0011358892925272812,-16.0,1.7053025658242404e-13
51,16.0,0.001051891834322305,84.0,8.526512829121202e-14
52,14.0,0.0009412844942744414,86.0,4.263256414560601e-14
53,46.0,0.00293510202482139,-342.0,2.842170943040401e-14
54,12.0,0.0008178531147677859,88.0,1.4210854715202004e-14
55,16.0,0.0010557390460235183,84.0,0.0
56,22.0,0.001446872248834552,-120.0,0.0
57,33.0,0.002106027875925065,-230.0,0.0
58,14.0,0.0009409638932993403,86.0,0.0
59,12.0,0.0008220209274441004,88.0,0.0
60,27.0,0.001743748761327879,-26.0,0.0
61,19.0,0.0012538704550024704,-18.0,0.0
62,15.0,0.001036502987062704,85.0,0.0
63,14.0,0.0009582763464095478,86.0,0.0
64,36.0,0.002321471738468972,-134.0,0.0
65,18.0,0.0012000094893664937,-17.0,0.0
66,14.0,0.0009307046616413572,86.0,0.0
67,52.0,0.003306037365746306,-249.0,0.0
68,14.0,0.0009422462971997447,86.0,0.0
69,21.0,0.0013856374603165023,79.0,0.0
70,16.0,0.0010627922674757428,84.0,0.0
71,12.0,0.0008124028981910669,88.0,0.0
72,37.0,0.0023759739056004037,-333.0,0.0
73,14.0,0.0009544291347083345,86.0,0.0
74,16.0,0.0010740133025137766,84.0,0.0
75,19.0,0.001267335696866212,81.0,0.0
76,19.0,0.001262206081264594,-18.0,0.0
77,14.0,0.0009566733415340423,86.0,0.0
78,38.0,0.0024269494624604704,-37.0,0.0
79,22.0,0.00148021475160931,-21.0,0.0
80,22.0,0.0015077864359227533,78.0,0.0
81,18.0,0.0011923150664188142,82.0,0.0
82,24.0,0.0015725478351669153,-23.0,0.0
83,19.0,0.0012715035099972738,-18.0,0.0
84,14.0,0.0009563527405589412,86.0,0.0
85,20.0,0.0013211966625021887,-19.0,0.0
86,12.0,0.0008258681396000611,88.0,0.0
87,25.0,0.0016273706037281954,-24.0,0.0
88,16.0,0.0010759369083643833,84.0,0.0
89,14.0,0.0009509025239822222,86.0,0.0
90,59.0,0.0037414135040307883,-355.0,0.0
91,39.0,0.0024987640836116043,-137.0,0.0
92,20.0,0.0013237614703029976,-19.0,0.0
93,13.0,0.0008887059325388691,87.0,0.0
94,27.0,0.001748237175434042,-125.0,0.0
95,14.0,0.0009480171152063122,86.0,0.0
96,16.0,0.0011025467902072705,84.0,0.0
97,16.0,0.001072410297638271,84.0,0.0
98,32.0,0.0020710823682748014,-130.0,0.0
99,24.0,0.0015648534117644886,-23.0,0.0
100,22.0,0.001449757657610462,-21.0,0.0
101,34.0,0.002212788003816968,-132.0,0.0
102,12.0,0.0008146471050167747,88.0,0.0
103,12.0,0.0008345243659277912,88.0,0.0
104,18.0,0.0012115511253796285,82.0,0.0
105,24.0,0.0015866542785261117,76.0,0.0
106,16.0,0.001091005154648883,84.0,0.0
107,12.0,0.0008377303756788024,88.0,0.0
108,26.0,0.0016985440224743797,-124.0,0.0
109,23.0,0.0015138778549044218,-22.0,0.0
110,20.0,0.0013231202683527954,-118.0,0.0
111,25.0,0.0016385916383114818,-24.0,0.0
112,12.0,0.0008159295089171792,88.0,0.0
113,14.0,0.0009416050952495425,86.0,0.0
114,13.0,0.0008915913413147791,87.0,0.0
115,20.0,0.0013426769287434581,80.0,0.0
116,32.0,0.0020941656393915764,-130.0,0.0
117,16.0,0.001075295706414181,84.0,0.0
118,32.0,0.002098654053042992,-130.0,0.0
119,14.0,0.0009662913712418231,86.0,0.0
120,16.0,0.0010717690956880688,84.0,0.0
121,23.0,0.0015026568203211355,-22.0,0.0
122,14.0,0.0009425668981748458,86.0,0.0
123,18.0,0.0012003300907963421,82.0,0.0
124,26.0,0.0016895671947168012,-25.0,0.0
125,21.0,0.0013853168593414011,-20.0,0.0
126,20.0,0.0013170288493711269,-19.0,0.0
127,25.0,0.0016350650275853695,-24.0,0.0
128,18.0,0.001202894898597151,82.0,0.0
129,22.0,0.001443986840058642,-21.0,0.0
130,21.0,0.001379546041789581,-20.0,0.0
131,24.0,0.0015667770176150952,76.0,0.0
132,14.0,0.0009550703366585367,86.0,0.0
133,15.0,0.0010073282974190079,-14.0,0.0
134,12.0,0.0008149677059918758,88.0,0.0
135,59.0,0.0037186508338891144,-454.0,0.0
136,14.0,0.0009541085337332333,86.0,0.0
137,36.0,0.002317303924883163,-35.0,0.0
138,16.0,0.0010701660903578158,84.0,0.0
139,30.0,0.0019582308209464827,-29.0,0.0
140,12.0,0.0008184943167179881,88.0,0.0
141,12.0,0.0008069526811596006,88.0,0.0
142,15.0,0.001015343322251283,85.0,0.0
143,16.0,0.001075936907909636,-114.0,0.0
144,18.0,0.0011990476864411903,82.0,0.0
145,21.0,0.0013878816675969574,-20.0,0.0
146,21.0,0.0013782636378891766,-20.0,0.0
147,56.0,0.0035734185876208358,-352.0,0.0
148,29.0,0.0018755157666419109,-127.0,0.0
149,27.0,0.0017520843875900027,-26.0,0.0
150,16.0,0.0010599068591545802,84.0,0.0
151,17.0,0.0011403777061786968,-16.0,0.0
152,40.0,0.0025757083199096087,-138.0,0.0
153,25.0,0.0016408358451371896,-24.0,0.0
154,32.0,0.0020685175604739925,-130.0,0.0
155,16.0,0.0010672806815819058,84.0,0.0
