steps,time,reward,delta,converged
1,0.021116704529731578,0.0,0,False
2,0.003407347276834116,0.0,0,False
3,0.003288083710231149,0.0,0,False
4,0.0016411564463396644,0.0,0,False
5,0.0023711648907465133,0.0,0,False
6,0.00692241648516756,0.0,0,False
7,0.009074931503391781,0.0,0,False
8,0.02746107743723769,0.0,0,False
9,0.005936889054737549,0.0,0,False
10,0.0032358257494706777,0.0,0,False
11,0.004962582659118198,0.0,0,False
12,0.011508613586556748,0.0,0,False
13,0.0035692507747171476,0.0,0,False
14,0.003326876429582626,0.0,0,False
15,0.0038097015140010626,0.0,0,False
16,0.003721856844094873,0.0,0,False
17,0.00711253286954161,0.0,0,False
18,0.02039599351360266,0.0,0,False
19,0.015186548095698527,0.0,0,False
20,0.013095588466285335,0.0,0,False
21,0.019378405984753044,0.0,0,False
22,0.0029245221924156795,0.0,0,False
23,0.005688423290621358,0.0,0,False
24,0.01547957739649064,0.0,0,False
25,0.01678923242343444,0.0,0,False
26,0.012365580021651112,0.0,0,False
27,0.007224102012742151,0.0,0,False
28,0.006083403705360979,0.0,0,False
29,0.01602459907235243,0.0,0,False
30,0.029556525480302298,0.0,0,False
31,0.013763079718728477,0.0,0,False
32,0.013022812042436271,0.0,0,False
33,0.004036366410900882,0.0,0,False
34,0.0316042039767126,0.0,0,False
35,0.025123255049038562,0.0,0,False
36,0.0033730429713614285,0.0,0,False
37,0.009008246498524386,0.0,0,False
38,0.0028533487734421215,0.0,0,False
39,0.0069342787214736745,0.0,0,False
40,0.025567608015080623,0.0,0,False
41,0.011638456986020174,0.0,0,False
42,0.024985396624970235,0.0,0,False
43,0.030914911857053085,0.0,0,False
44,0.009360586981983943,0.0,0,False
45,0.010573741112239077,0.0,0,False
46,0.008824862734627459,0.0,0,False
47,0.023977106524853298,0.0,0,False
48,0.0038093809130259615,0.0,0,False
49,0.0034538344200427673,0.0,0,False
50,0.02903106046483117,0.0,0,False
51,0.003603234479214734,0.0,0,False
52,0.007335991756690419,0.0,0,False
53,0.012849687510197327,0.0,0,False
54,0.008552993098646766,0.0,0,False
55,0.005905470158268145,0.0,0,False
56,0.013976279374446676,0.0,0,False
57,0.004633646047523143,0.0,0,False
58,0.008734453256693087,0.0,0,False
59,0.006949026366783073,0.0,0,False
60,0.005679446463091153,0.0,0,False
61,0.003779565021432063,0.0,0,False
62,0.029635393322905657,0.0,0,False
63,0.015089726597807385,0.0,0,False
64,0.005135065989179566,0.0,0,False
65,0.020856376529309273,0.0,0,False
66,0.0040443814357331576,0.0,0,False
67,0.0026789418370753992,0.0,0,False
68,0.008397501620720504,0.0,0,False
69,0.003771870597574889,0.0,0,False
70,0.006694469184367335,0.0,0,False
71,0.0018710273529904953,0.0,0,False
72,0.03022433733372054,0.0,0,False
73,0.027218382491128068,0.0,0,False
74,0.015971058707691554,0.0,0,False
75,0.005770817743950829,0.0,0,False
76,0.005213613230807823,0.0,0,False
77,0.008126914388640216,0.0,0,False
78,0.013268392397549178,0.0,0,False
79,0.004215261761146394,0.0,0,False
80,0.01075423946713272,0.0,0,False
81,0.017334895301473807,0.0,0,False
82,0.02849020660187307,0.0,0,False
83,0.01742819018818409,0.0,0,False
84,0.006129249646392054,0.0,0,False
85,0.02534927874398818,0.0,0,False
86,0.007253597303360948,0.0,0,False
87,0.004800679161235166,0.0,0,False
88,0.006205873281942331,0.0,0,False
89,0.007372219668241087,0.0,0,False
90,0.00624338359716603,0.0,0,False
91,0.01320363099853239,0.0,0,False
92,0.015792804559850993,0.0,0,False
93,0.010053405712142194,0.0,0,False
94,0.006906707036705484,0.0,0,False
95,0.007315793894576927,0.0,0,False
96,0.0047429709836706024,0.0,0,False
97,0.007948019038394705,0.0,0,False
98,0.0037670615829483722,0.0,0,False
99,0.011895899577666569,0.0,0,False
100,0.010941149841983133,0.0,0,False
101,0.015185906893748324,0.0,0,False
102,0.0041395999282940465,0.0,0,False
103,0.0044326292295409075,0.0,0,False
104,0.02801539654183216,0.0,0,False
105,0.009454843671619528,0.0,0,False
106,0.0046172953971108655,0.0,0,False
107,0.030757176172301115,0.0,0,False
108,0.0029620325076393783,0.0,0,False
109,0.0022079789889630774,0.0,0,False
110,0.008942843897557395,0.0,0,False
111,0.005648027566394376,0.0,0,False
112,0.004183522263474515,0.0,0,False
113,0.00937950244019703,0.0,0,False
114,0.008632502143200327,0.0,0,False
115,0.0084035930394748,0.0,0,False
116,0.01866795420028211,0.0,0,False
117,0.010349961624115167,0.0,0,False
118,0.008384998182236814,0.0,0,False
119,0.024455122594645218,0.0,0,False
120,0.011361137133235388,0.0,0,False
121,0.0255836380645178,0.0,0,False
122,0.007046489066624417,0.0,0,False
123,0.01927613427005781,0.0,0,False
124,0.004871211378031148,0.0,0,False
125,0.031290656212377144,0.0,0,False
126,0.009747552371891288,0.0,0,False
127,0.009221766755217686,0.0,0,False
128,0.0023503258269101934,0.0,0,False
129,0.020404329139182664,0.0,0,False
130,0.030790839275596227,0.0,0,False
131,0.030838608822705282,0.0,0,False
132,0.004140882332421825,0.0,0,False
133,0.01142397492640157,0.0,0,False
134,0.011285154699635314,0.0,0,False
135,0.010646517535860767,0.0,0,False
136,0.003669919484309503,0.0,0,False
137,0.006896768406022602,0.0,0,False
138,0.0022599163487484475,0.0,0,False
139,0.0057284984141006134,0.0,0,False
140,0.02745466541773567,0.0,0,False
141,0.007043924258596235,0.0,0,False
142,0.011641342394796084,0.0,0,False
143,0.010018139603744203,0.0,0,False
144,0.00607891529148219,0.0,0,False
145,0.0042816261652660614,0.0,0,False
146,0.009541085336877586,0.0,0,False
147,0.02294380954776898,0.0,0,False
148,0.01730924722232885,0.0,0,False
149,0.00761331160924783,0.0,0,False
150,0.013447287747567316,0.0,0,False
151,0.00492475174246465,0.0,0,False
152,0.010129388145969642,0.0,0,False
153,0.01947490688144171,0.0,0,False
154,0.007467117559826875,0.0,0,False
155,0.009375975829470917,0.0,0,False
156,0.024730839442327124,0.0,0,False
157,0.006634196198774589,0.0,0,False
158,0.004344463958204869,0.0,0,False
159,0.008764269148514359,0.0,0,False
160,0.013157785057501314,0.0,0,False
161,0.029909827766687158,0.0,0,False
162,0.005398920600555357,0.0,0,False
163,0.012202714720842778,0.0,0,False
164,0.014860817494081857,0.0,0,False
165,0.019377764782802842,0.0,0,False
166,0.0058266023154374125,0.0,0,False
167,0.007213842781311541,0.0,0,False
168,0.010500964688390013,0.0,0,False
169,0.011748102523142734,0.0,0,False
170,0.01713163427643849,0.0,0,False
171,0.023948893638134905,0.0,0,False
172,0.008998307868068878,0.0,0,False
173,0.0038250903612606635,0.0,0,False
174,0.004577220274086358,0.0,0,False
175,0.013643816151898136,0.0,0,False
