episode,length,time,reward,delta
0,500.0,0.031990207563467266,-2877.0,-1.0001051720139202
1,125.0,0.00789287566931307,-223.0,99.9992388055361
2,199.0,0.012579100278344413,-396.0,49.999619402768054
3,276.0,0.01751699666147033,-869.0,24.999809701384024
4,97.0,0.0061177080110610405,-195.0,12.499904850692019
5,143.0,0.008954064931913308,-340.0,6.2499524253460095
6,44.0,0.002800449610731448,56.0,3.1249762126730047
7,61.0,0.0040507934554625535,-159.0,1.5624881063365024
8,123.0,0.007808557609678246,-419.0,0.7812440531682512
9,36.0,0.0023336545755228144,64.0,0.3906220265841256
10,27.0,0.0017485577764091431,73.0,0.1953110132920699
11,31.0,0.0020249158264959988,69.0,0.09765550664603495
12,48.0,0.003038656143417029,-47.0,0.04882775332302458
13,55.0,0.0035920134446314478,45.0,0.02441387666151229
14,142.0,0.008926172646170016,-636.0,0.01220693833076325
15,28.0,0.001810113165902294,72.0,0.006103469165381625
16,28.0,0.0018171663878092659,72.0,0.003051734582697918
17,53.0,0.0035096189917567244,-250.0,0.001525867291348959
18,24.0,0.0015610062000632752,76.0,0.0007629336456744795
19,98.0,0.006230559557934612,-493.0,0.00038146682283013433
20,21.0,0.0014112855392340862,79.0,0.00019073341141506717
21,17.0,0.0011314008788758656,83.0,9.536670570753358e-05
22,31.0,0.001989970318390988,69.0,4.7683352846661364e-05
23,80.0,0.005168729092929425,-277.0,2.3841676423330682e-05
24,23.0,0.001491435785737849,-22.0,1.1920838204559914e-05
25,18.0,0.0011807734304056794,82.0,5.960419102279957e-06
26,35.0,0.00222849745205167,-331.0,2.9802095582454058e-06
27,34.0,0.002171109875689581,-528.0,1.4901047791227029e-06
28,12.0,0.000816250109437533,88.0,7.450523895613514e-07
29,12.0,0.0008130441001412692,88.0,3.7252618767524837e-07
30,17.0,0.0011406983076085453,-16.0,1.8626309383762418e-07
31,15.0,0.001592104495557578,-14.0,9.313154691881209e-08
32,19.0,0.0014455898449341475,81.0,4.6565773459406046e-08
