episode,length,time,reward,delta
0,65.0,0.004272969938483584,35.0,100.0
1,47.0,0.0030325647244353604,-145.0,90.0
2,500.0,0.031375294872759696,-2481.0,-0.956611078804348
3,432.0,0.027221267900131352,-1520.0,81.0
4,395.0,0.024866133058367268,-1186.0,72.9
5,103.0,0.0066947897853424365,-102.0,65.61
6,83.0,0.005249841142358491,17.0,59.049
7,109.0,0.006909271844506293,-207.0,53.1441
8,91.0,0.005709903556635254,9.0,47.82969
9,146.0,0.009126227661454323,-145.0,43.046721
10,119.0,0.0075084750869791606,-613.0,38.7420489
11,113.0,0.007057068899030128,-112.0,34.86784401
12,185.0,0.01167692910439655,-283.0,31.381059609000005
13,65.0,0.004120363869333232,35.0,28.2429536481
14,137.0,0.008732209049867379,-334.0,25.41865828329
15,152.0,0.009513193051134294,-349.0,22.876792454961006
16,110.0,0.006914401460562658,-208.0,20.589113209464898
17,72.0,0.0045932503235235345,-71.0,18.530201888518405
18,70.0,0.0044909786088283,30.0,16.677181699666562
19,19.0,0.0012557940613078244,81.0,15.0094635296999
20,75.0,0.004729185141513881,25.0,13.50851717672991
21,203.0,0.012662777135574288,-598.0,12.157665459056915
22,34.0,0.0021755982893409964,66.0,10.94189891315122
23,52.0,0.003301869552615244,48.0,9.847709021836096
24,109.0,0.006824633184351114,-405.0,8.862938119652483
25,34.0,0.0022268944471761642,66.0,7.976644307687238
26,67.0,0.004212055751395383,33.0,7.178979876918518
27,21.0,0.0013651189974552835,79.0,6.461081889226662
28,57.0,0.003621508735250245,-155.0,5.8149737003039945
29,41.0,0.0026151422407565406,-40.0,5.233476330273589
30,43.0,0.0028171208618914534,57.0,4.710128697246233
31,49.0,0.003158560911742825,-48.0,4.239115827521616
32,96.0,0.006018962907091918,-194.0,3.815204244769461
33,128.0,0.00807786243785813,-226.0,3.433683820292515
34,33.0,0.0021326377577679523,-32.0,3.0903154382632607
35,19.0,0.001280480337300105,81.0,2.781283894436939
36,47.0,0.0030072372464928776,53.0,2.503155504993245
37,43.0,0.002753321266027342,-42.0,2.252839954493922
38,18.0,0.0011801322284554772,82.0,2.027555959044534
39,29.0,0.0019107818752672756,71.0,1.8248003631400849
40,62.0,0.003962628184581263,-160.0,1.6423203268260806
41,36.0,0.002308968299530534,64.0,1.4780882941434754
42,20.0,0.0013224790664025932,80.0,1.3302794647291307
43,65.0,0.00412902009611571,-163.0,1.1972515182562233
44,43.0,0.002729917393935466,57.0,1.0775263664306038
45,37.0,0.002373729698774696,-36.0,0.9697737297875477
46,69.0,0.004345746362560021,-266.0,0.8727963568087915
47,17.0,0.001137171696882433,83.0,0.7855167211279195
48,37.0,0.0024933138661253906,63.0,0.7069650490151247
49,75.0,0.004794908343683346,-74.0,0.6362685441136193
50,16.0,0.0011054321989831806,84.0,0.5726416897022517
51,65.0,0.004135111514642631,-163.0,0.5153775207320308
52,17.0,0.0011288360706203093,83.0,0.46383976865882914
53,24.0,0.0015603649976583256,76.0,0.41745579179294623
54,63.0,0.003989558667399251,-62.0,0.37571021261365445
55,43.0,0.00274626804412037,-141.0,0.3381391913522833
56,32.0,0.002098333452067891,68.0,0.3043252722170564
57,28.0,0.001826143215112097,-27.0,0.27389274499535077
58,20.0,0.0013167082483960257,80.0,0.24650347049581
59,17.0,0.0011342862876517756,83.0,0.22185312344622332
60,23.0,0.001491435785737849,77.0,0.19966781110160525
61,25.0,0.0016299354119837517,75.0,0.179701029991449
62,20.0,0.0013256850761536043,80.0,0.1617309269923055
63,15.0,0.0010108549081451201,85.0,0.14555783429307212
64,29.0,0.001874553964171355,-28.0,0.1310020508637706
65,31.0,0.002047357895207824,69.0,0.11790184577739637
66,13.0,0.0008941561495703354,87.0,0.10611166119966242
67,22.0,0.0014603374902435462,78.0,0.0955004950796905
68,12.0,0.000821059124518797,88.0,0.08595044557172571
69,22.0,0.0014481546527349565,-21.0,0.0773554010145574
70,47.0,0.0029969780148348946,-46.0,0.06961986091310735
71,20.0,0.0013183112532715313,80.0,0.06265787482179519
72,34.0,0.0021903459351051424,66.0,0.05639208733961709
73,14.0,0.0009435287011001492,86.0,0.0507528786056497
74,15.0,0.0010159845242014853,85.0,0.04567759074508615
75,15.0,0.0010089313022945134,85.0,0.0411098316705818
76,41.0,0.002675094625374186,-238.0,0.0369988485035293
77,16.0,0.0011140884253109107,84.0,0.033298963653180635
78,36.0,0.0023201893341138202,-35.0,0.029969067287865414
79,12.0,0.0008079144845396513,88.0,0.026972160559083136
80,12.0,0.0008226621293943026,88.0,0.024274944503176243
81,49.0,0.003139966054732213,-345.0,0.02184745005286004
82,12.0,0.0008300359522763756,88.0,0.01966270504757972
83,18.0,0.0012227721599629149,82.0,0.017696434542827433
84,12.0,0.0008165707108673814,88.0,0.01592679108854611
85,24.0,0.0015642122098142863,-122.0,0.01433411197969292
86,18.0,0.0012077039136784151,-17.0,0.012900700781727892
87,18.0,0.0011980858839706343,82.0,0.011610630703557945
88,14.0,0.0009387196864736325,86.0,0.01044956763320215
89,14.0,0.0009303840606662561,86.0,0.009404610869879093
90,22.0,0.0014427044357034902,-21.0,0.008464149782895447
91,16.0,0.0010547772435529623,84.0,0.007617734804611587
92,14.0,0.0009646883663663175,86.0,0.006855961324149007
93,19.0,0.0012634884851649986,-18.0,0.006170365191735527
94,14.0,0.0009957866618606204,86.0,0.005553328672561975
95,12.0,0.00082266212984905,88.0,0.0049979958053114615
96,12.0,0.0008326007600771845,88.0,0.00449819622477321
97,20.0,0.0013048460123172845,-118.0,0.004048376602298731
98,12.0,0.0008249063366747578,88.0,0.0036435389420717
99,23.0,0.0014997714115452254,77.0,0.003279185047858846
100,40.0,0.002566410891176929,-435.0,0.0029512665430786456
101,13.0,0.0009499407210569188,-12.0,0.002656139888770781
102,43.0,0.0027587714830588084,-141.0,0.002390525899897966
103,20.0,0.0013227996673776943,-118.0,0.0021514733099081695
104,23.0,0.001553311776206101,-121.0,0.0019363259789173526
105,12.0,0.0008287535483759711,88.0,0.0017426933810327228
106,28.0,0.0018123573727280018,-27.0,0.0015684240429294505
107,36.0,0.002302556279573764,-332.0,0.0014115816386350843
108,17.0,0.0011339656866766745,83.0,0.0012704234747786813
109,14.0,0.0009627647600609635,86.0,0.0011433811273064975
110,27.0,0.0017360543379254523,-125.0,0.0010290430145687424
111,19.0,0.00125162624863151,-18.0,0.0009261387131118681
112,23.0,0.001518686869985686,77.0,0.000833524841794997
113,26.0,0.0017290011164732277,-25.0,0.0007501723576126551
114,13.0,0.0009073007900042285,87.0,0.0006751551218542318
115,14.0,0.001041953203639423,86.0,0.0006076396096688086
116,14.0,0.0009355136767226213,86.0,0.0005468756486948223
117,14.0,0.0009326282674919639,86.0,0.0004921880838253401
118,26.0,0.0016741783479119476,-124.0,0.0004429692754399639
119,13.0,0.0008688286716278526,-12.0,0.0003986723478988097
120,22.0,0.0014231477757675748,-120.0,0.0003588051131089287
121,15.0,0.0009932218540598114,-14.0,0.0003229246018037202
122,15.0,0.000974306395619351,-113.0,0.0002906321416276114
123,18.0,0.001316708248850773,82.0,0.0002615689274705346
124,30.0,0.002039022269855195,-29.0,0.00023541203472632333
125,27.0,0.001844096870172507,-26.0,0.00021187083125084882
126,24.0,0.0015908220912024262,-23.0,0.0001906837481300272
127,16.0,0.001075295706414181,84.0,0.00017161537331844556
128,14.0,0.0009525055284029804,86.0,0.00015445383598944318
129,12.0,0.0008762024940551782,88.0,0.00013900845239334103
130,12.0,0.0008120822967612185,88.0,0.0001251076071469015
131,15.0,0.0010272055583300244,-14.0,0.00011259684643505352
132,20.0,0.0013628747906295757,-19.0,0.00010133716179439034
133,12.0,0.0008184943167179881,88.0,9.120344562063565e-05
134,14.0,0.00095026132203202,86.0,8.208310106283534e-05
135,34.0,0.0022429244968407147,-330.0,7.38747909565518e-05
136,48.0,0.0030492359755953657,-344.0,6.648731185521228e-05
137,19.0,0.0012535498544821166,-18.0,5.983858066826997e-05
138,12.0,0.00082554753862496,88.0,5.38547226085484e-05
139,14.0,0.0009390402874487336,86.0,4.846925034485139e-05
140,36.0,0.002357058447159943,-233.0,4.362232530752408e-05
141,12.0,0.000813685301636724,88.0,3.926009277677167e-05
142,24.0,0.0015985165150596004,-23.0,3.533408349198908e-05
143,17.0,0.001114088425765658,83.0,3.180067514563234e-05
144,20.0,0.001307410819663346,80.0,2.8620607636753448e-05
145,12.0,0.0008082350850600051,88.0,2.5758546868814847e-05
146,14.0,0.0009473759128013626,86.0,2.318269218903879e-05
147,12.0,0.0008223415288739488,88.0,2.086442296445057e-05
148,18.0,0.0011942386718146736,-116.0,1.8777980670847683e-05
149,14.0,0.0009444905040254525,86.0,1.6900182600920743e-05
150,25.0,0.001696299815648672,-123.0,1.5210164335144327e-05
151,22.0,0.0014555284756170295,-21.0,1.3689147905893151e-05
152,14.0,0.0009400020903740369,86.0,1.232023311104058e-05
153,25.0,0.0016398740422118863,-24.0,1.1088209802778692e-05
154,14.0,0.0009643677653912164,86.0,9.979388821079738e-06
155,14.0,0.0009307046616413572,86.0,8.981449937550678e-06
156,33.0,0.0021614918459818,-131.0,8.083304948058867e-06
157,41.0,0.002610653827105125,-139.0,7.274974450410809e-06
158,16.0,0.0010615098640300857,84.0,6.5474769996853865e-06
159,16.0,0.0010659982776815013,84.0,5.89272930540119e-06
160,13.0,0.0008742788882045716,87.0,5.303456376282156e-06
