episode,length,time,reward,delta
0,14.0,0.0011554459527758354,0.0,-0.0005610942717836119
1,21.0,0.0013625541895976312,0.0,-0.0002753590004283228
2,21.0,0.0013519743570498122,0.0,-9.23057353557632e-05
3,31.0,0.0020540905159123213,0.0,-0.00034270719758725893
4,6.0,0.0005200147989228299,0.0,2.7288379354654718e-05
5,73.0,0.004709307880176539,0.0,-0.0006369194542455218
6,9.0,0.0006630028386211961,0.0,-0.00024782310038549054
7,14.0,0.0009525055287440409,0.0,-0.00022304079034694146
8,22.0,0.0015148396578297252,0.0,-0.0002164981415463515
9,21.0,0.0014023087118175681,0.0,0.00026657989379088676
10,14.0,0.0009531467307510866,0.0,-0.000254966581352217
11,22.0,0.0014247507808136106,0.0,-0.00017893917234654684
12,15.0,0.0010573420511263976,0.0,-0.00050185972329675
13,57.0,0.003719292036095112,0.0,-0.00012775459001818475
14,66.0,0.004364661820460469,0.0,-0.0003094129976199279
15,95.0,0.005986582207555102,0.0,-0.0002784716978579351
16,8.0,0.0006091418729852194,0.0,7.753567811648175e-05
17,7.0,0.0005046259516348073,0.0,-0.0002171708258080389
18,36.0,0.0024211786446244332,0.0,-0.0001948483273917163
19,44.0,0.002809426438432183,0.0,2.814068897123034e-05
20,69.0,0.0042748935444478775,0.0,-0.00035975739150096147
21,20.0,0.0013593481797329332,0.0,-0.000273841391171797
22,38.0,0.0025125499255977957,0.0,0.00016238521814653079
23,39.0,0.002573143511909848,0.0,-0.0004519195460258555
24,20.0,0.0013773018349354516,0.0,-0.00040672759142326996
25,16.0,0.0010727308984144202,0.0,-0.00037426049704124585
26,15.0,0.0009948248589068953,0.0,-0.00017536349465254467
27,47.0,0.002996657414115589,0.0,-0.0005285457583941429
28,15.0,0.0010130991150845148,0.0,-0.0003718152166430381
29,7.0,0.000482825084588967,0.0,-0.00015782714518729023
30,19.0,0.001222772159763963,0.0,-0.00033463369497873426
31,21.0,0.001556517785985534,0.0,0.0003277499489586766
32,7.0,0.0005437392718761203,0.0,-0.0001311697049761515
33,45.0,0.002914583561789641,0.0,-0.0004279786392188768
34,27.0,0.0017322071261958172,0.0,-0.00014205631455419774
35,36.0,0.002347761018882011,0.0,7.205117415402785e-05
36,25.0,0.0017052766434062505,0.0,9.543171095522177e-05
37,27.0,0.0017969685253262924,0.0,-0.00043050260837417865
38,38.0,0.002464459777712591,0.0,-0.00021236273690719744
39,62.0,0.004022580568630474,0.0,-0.00010447856304265441
40,10.0,0.0007229552229546243,0.0,-0.00011363437709898723
41,8.0,0.0005988826414409232,0.0,4.301919372822377e-05
42,30.0,0.0019258501216086188,0.0,3.789984205472899e-05
43,11.0,0.0007357792623849946,0.0,-4.679549703771662e-05
44,17.0,0.0011118442186841548,0.0,-4.211594733394497e-05
45,9.0,0.0006370341587285111,0.0,-9.403070673838894e-05
46,72.0,0.0046397374662490165,0.0,-3.790435260055049e-05
47,31.0,0.0020060003680271166,0.0,-2.9324040738800794e-05
48,21.0,0.0013542185639323634,0.0,-2.639163666492072e-05
49,24.0,0.0015286255002138205,0.0,-1.1405360013692174e-07
50,16.0,0.001081387125054789,0.0,-2.375247299842866e-05
51,29.0,0.001930338535402143,0.0,-7.348005032630124e-05
52,37.0,0.0023862331372015433,0.0,-8.150848660723421e-05
53,12.0,0.0008146471048746662,0.0,-0.00026947988819826644
54,41.0,0.0028225710788376546,0.0,1.2000126985903042e-05
55,12.0,0.0008486308093722528,0.0,-0.0001252169234696331
56,20.0,0.0013167082486233994,0.0,3.3590373188638746e-05
57,30.0,0.0019697724566754005,0.0,-5.011827768366256e-05
58,9.0,0.0006206835084867635,0.0,3.0231335869774893e-05
59,23.0,0.001761702416871458,0.0,-4.928781804062706e-05
60,14.0,0.0009393608883385696,0.0,5.577061737282378e-06
61,78.0,0.0048555019296827595,0.0,3.871727435540137e-05
62,29.0,0.001988687914803222,0.0,6.956842171542869e-05
63,31.0,0.0019787492842624488,0.0,-0.00032378165235086537
64,9.0,0.0006575526218455252,0.0,-4.5106449915296315e-05
65,16.0,0.0010544566422368007,0.0,-0.0002530218445840302
66,30.0,0.001930979737380767,0.0,-0.0004132604745536057
67,10.0,0.0006995513509764351,0.0,2.1633136451660424e-05
68,43.0,0.0027840989605749655,0.0,1.9469822806494365e-05
69,6.0,0.00042864351800631084,0.0,8.27571221756422e-05
70,25.0,0.0016488508698841997,0.0,8.215983183278792e-05
71,42.0,0.002779610546724598,0.0,0.00010932279741991246
72,24.0,0.0015427319436014386,0.0,-0.0003019108993043354
