steps,time,reward,delta,converged
1,0.017895305824367824,0.0,0,False
2,0.0026744534234239836,0.0,0,False
3,0.006273520089962403,0.0,0,False
4,0.007799580782148041,0.0,0,False
5,0.009383990853848445,0.0,0,False
6,0.015552674421314805,0.0,0,False
7,0.0057057357439589396,0.0,0,False
8,0.004580746885039844,0.0,0,False
9,0.016161816294470555,0.0,0,False
10,0.009732484125379415,0.0,0,False
11,0.014243339995346105,0.0,0,False
12,0.010040581672910776,0.0,0,False
13,0.017444540838368994,0.0,0,False
14,0.004504443850237294,0.0,0,False
15,0.004561510825624282,0.0,0,False
16,0.007268986150620549,0.0,0,False
17,0.016236516324170225,0.0,0,False
18,0.0047782370920685935,0.0,0,False
19,0.03128520599557305,0.0,0,False
20,0.008614869088887644,0.0,0,False
21,0.009688241189451219,0.0,0,False
22,0.005789092000441087,0.0,0,False
23,0.029775495953572317,0.0,0,False
24,0.026613408430876007,0.0,0,False
25,0.005238620107547831,0.0,0,False
26,0.007028535411336634,0.0,0,False
27,0.0018966754319080792,0.0,0,False
28,0.018551576042455054,0.0,0,False
29,0.01276088103713846,0.0,0,False
30,0.002566410891176929,0.0,0,False
31,0.0024045073932938976,0.0,0,False
32,0.0010339381792618951,0.0,0,False
33,0.01966790867504642,0.0,0,False
34,0.006704087213620369,0.0,0,False
35,0.012269720326912648,0.0,0,False
36,0.008806267877389473,0.0,0,False
37,0.01901676807278818,0.0,0,False
38,0.01108093187144732,0.0,0,False
39,0.014143633088906427,0.0,0,False
40,0.029768763333095194,0.0,0,False
41,0.0022140704077173723,0.0,0,False
42,0.0017431075598324242,0.0,0,False
43,0.016808147881874902,0.0,0,False
44,0.002088394821385009,0.0,0,False
45,0.012741965578925374,0.0,0,False
46,0.004250848470519486,0.0,0,False
47,0.010181325505527639,0.0,0,False
48,0.007363242840483508,0.0,0,False
49,0.02953696882013901,0.0,0,False
50,0.005766329330299413,0.0,0,False
51,0.007517131313761638,0.0,0,False
52,0.012788773322881752,0.0,0,False
53,0.014081436497690447,0.0,0,False
54,0.018136397765829315,0.0,0,False
55,0.008857564035224641,0.0,0,False
56,0.012424891204091182,0.0,0,False
57,0.0027889079754004342,0.0,0,False
58,0.007355548416853708,0.0,0,False
59,0.0032082540649298608,0.0,0,False
60,0.029873279254388763,0.0,0,False
61,0.017075208503001704,0.0,0,False
62,0.0036445920065943938,0.0,0,False
63,0.009523131681817176,0.0,0,False
64,0.012020933961821356,0.0,0,False
65,0.021950587693709167,0.0,0,False
66,0.001745351766658132,0.0,0,False
67,0.004037328214053559,0.0,0,False
68,0.00786915119601872,0.0,0,False
69,0.016647526787892275,0.0,0,False
70,0.0035041687744978844,0.0,0,False
71,0.009016261523129288,0.0,0,False
72,0.009931256736763316,0.0,0,False
73,0.006216773715323143,0.0,0,False
74,0.015048689671857574,0.0,0,False
75,0.007314511490676523,0.0,0,False
76,0.014111572990259447,0.0,0,False
77,0.009366037198788035,0.0,0,False
78,0.008827106941453167,0.0,0,False
79,0.02975113027878251,0.0,0,False
80,0.005452460965216233,0.0,0,False
81,0.025036692782805403,0.0,0,False
82,0.0020457548903323186,0.0,0,False
83,0.010889212482197763,0.0,0,False
84,0.020507242055600727,0.0,0,False
85,0.01227228513494083,0.0,0,False
86,0.0036965293659250165,0.0,0,False
87,0.005881104483250965,0.0,0,False
88,0.009470873721056705,0.0,0,False
89,0.021524508983702617,0.0,0,False
90,0.02815517857152372,0.0,0,False
91,0.007413897796368474,0.0,0,False
92,0.004225520992577003,0.0,0,False
93,0.005000413575316998,0.0,0,False
94,0.029878088269242653,0.0,0,False
95,0.01063722010735546,0.0,0,False
96,0.0210698967857752,0.0,0,False
97,0.029757542298511908,0.0,0,False
98,0.004666988550070528,0.0,0,False
99,0.010458004156362222,0.0,0,False
100,0.0034448575922851887,0.0,0,False
101,0.0024843370388225594,0.0,0,False
102,0.0025692963001802127,0.0,0,False
103,0.004078044539255643,0.0,0,False
104,0.010182287308452942,0.0,0,False
105,0.0031370806459563028,0.0,0,False
106,0.011929883281936782,0.0,0,False
107,0.00957154243064906,0.0,0,False
108,0.005768573537125121,0.0,0,False
109,0.016805262472871618,0.0,0,False
110,0.004967071072769613,0.0,0,False
111,0.0049843835261071945,0.0,0,False
112,0.010875747240561395,0.0,0,False
113,0.0116156943158785,0.0,0,False
114,0.009701706430860213,0.0,0,False
115,0.013303658506174543,0.0,0,False
116,0.009897914234215932,0.0,0,False
117,0.0030136492662222736,0.0,0,False
118,0.0037584053563932684,0.0,0,False
119,0.0022278562503288413,0.0,0,False
120,0.0065550077551961294,0.0,0,False
121,0.006735185509342045,0.0,0,False
122,0.029652385175268137,0.0,0,False
123,0.012757354426412348,0.0,0,False
124,0.001809471963724718,0.0,0,False
125,0.022744075133459773,0.0,0,False
126,0.007023405795507642,0.0,0,False
127,0.0014972066037444165,0.0,0,False
128,0.008767475158037996,0.0,0,False
129,0.003266282843242152,0.0,0,False
130,0.013350145648928446,0.0,0,False
131,0.004128378893938134,0.0,0,False
132,0.00680347351931232,0.0,0,False
133,0.006715308248203655,0.0,0,False
134,0.027407857673551916,0.0,0,False
135,0.012627831628151398,0.0,0,False
136,0.0045352215449838695,0.0,0,False
137,0.0027523594631020387,0.0,0,False
138,0.0026475229406059952,0.0,0,False
139,0.007758223254995755,0.0,0,False
140,0.02565064367058767,0.0,0,False
141,0.0012323901892159483,0.0,0,False
142,0.02208395770367133,0.0,0,False
143,0.025537471522511623,0.0,0,False
