steps,time,reward,delta,converged
1,0.0008226621295079894,0.0,0.0004302185821719803,False
2,0.0011320420808260678,0.0,0.0004302185821719803,False
3,0.005094349664091169,0.0,0.0004302185821719803,False
4,0.000841898188639334,0.0,0.0004302185821719803,False
5,0.0018960342299010335,0.0,0.0004302185821719803,False
6,0.0019486127915797624,0.0,0.0004522855939864485,False
7,0.0017979303282800174,0.0,0.0004522855939864485,False
8,0.0006662088484858941,0.0,0.0004522855939864485,False
9,0.0035589915431728514,0.0,0.0004522855939864485,False
10,0.0007995788585617447,0.0,0.0004522855939864485,False
11,0.0006277367301663617,0.0,0.0004522855939864485,False
12,0.0010403501988776043,0.0,0.0004522855939864485,False
13,0.0011249888591464696,0.0,0.0004522855939864485,False
14,0.0013612717856403833,0.0,0.0004522855939864485,False
15,0.0011653845833166088,0.0,0.0004522855939864485,False
16,0.0009473759129718928,0.0,0.0004522855939864485,False
17,0.0007316114495665715,0.0,0.0004522855939864485,False
18,0.00282738009360628,0.0,0.0004522855939864485,False
19,0.0012246957656998347,0.0,0.0004522855939864485,False
20,0.002095448043064607,0.0,0.0004522855939864485,False
21,0.0007889990260423474,0.0,0.0004522855939864485,False
22,0.001228863578489836,0.0,0.0004522855939864485,False
23,0.0006655676464788485,0.0,0.0004522855939864485,False
24,0.0016017225249811418,0.0,0.0004522855939864485,False
25,0.0010127785141094137,0.0,0.0004522855939864485,False
26,0.0034419721833387484,0.0,0.0004522855939864485,False
27,0.000428322917002788,0.0,0.0004522855939864485,False
28,0.0026581027731253926,0.0,0.0004522855939864485,False
29,0.001617111372297586,0.0,0.0004522855939864485,False
30,0.0024516357382822207,0.0,0.0004522855939864485,False
31,0.0006719796662082445,0.0,0.0004522855939864485,False
32,0.0025994327927492122,0.0,0.0004522855939864485,False
33,0.0013058078150720576,0.0,0.0004522855939864485,False
34,0.0012557940613646679,0.0,0.0004522855939864485,False
35,0.003838876203815289,0.0,0.0004522855939864485,False
36,0.0006613998336320037,0.0,0.0004522855939864485,False
37,0.001212192327216144,0.0,0.0004522855939864485,False
38,0.0012942661795705135,0.0,0.0004522855939864485,False
39,0.0026023182015819657,0.0,0.0004522855939864485,False
40,0.0007159020012181827,0.0,0.0004522855939864485,False
41,0.0006024092523375657,0.0,0.0004522855939864485,False
42,0.0006623616366141505,0.0,0.0004522855939864485,False
43,0.0012532292534501721,0.0,0.0004522855939864485,False
44,0.0028001290098700338,0.0,0.0004522855939864485,False
45,0.0010897227506916352,0.0,0.0004522855939864485,False
46,0.0012423288198988303,0.0,0.0004522855939864485,False
47,0.0010550978442438463,0.0,0.0004522855939864485,False
48,0.0009643677652775295,0.0,0.0004522855939864485,False
49,0.0011974446819067452,0.0,0.0004522855939864485,False
50,0.0013413945245588366,0.0,0.0004522855939864485,False
51,0.0009153158144385998,0.0,0.0004522855939864485,False
52,0.001151919341964458,0.0,0.0004522855939864485,False
53,0.0007774573904839599,0.0,0.0004522855939864485,False
54,0.0027251083791952624,0.0,0.0004522855939864485,False
55,0.0007832282082631536,0.0,0.0004522855939864485,False
56,0.0006556290159664968,0.0,0.0004522855939864485,False
57,0.0007357792623565729,0.0,0.0004522855939864485,False
58,0.0009101861986096083,0.0,0.0004522855939864485,False
59,0.0016770637566878577,0.0,0.0004522855939864485,False
60,0.0020326102498984255,0.0,0.0004522855939864485,False
61,0.002499725886195847,0.0,0.0004522855939864485,False
62,0.0036356151787799718,0.0,0.0004522855939864485,False
