episode,length,time,reward,delta
0,288.0,0.017828941420248157,-1178.0,100.0
1,500.0,0.03071004782714226,-2184.0,-0.856370988986948
2,500.0,0.03077000021130516,-1788.0,-0.6529131780500945
3,94.0,0.00580319844357291,-93.0,90.0
4,230.0,0.014175372586123558,-1021.0,81.0
5,166.0,0.010268208372508525,-660.0,72.9
6,437.0,0.026590966361709434,-2020.0,65.61
7,39.0,0.002496199275356048,61.0,59.049
8,139.0,0.008476048862121388,-237.0,53.1441
9,164.0,0.01020601178151992,-460.0,47.82969
10,244.0,0.014899610212978587,-1134.0,43.046721
11,81.0,0.004954247033310821,-476.0,38.7420489
12,51.0,0.003186453197940864,49.0,34.86784401
13,39.0,0.002428552467335976,-38.0,31.381059609000005
14,75.0,0.004641661072128045,-74.0,28.2429536481
15,100.0,0.006088533320962597,-297.0,25.41865828329
16,104.0,0.006376753607582941,-400.0,22.876792454961006
17,306.0,0.01869231987529929,-1295.0,20.589113209464898
18,45.0,0.002774801531813864,55.0,18.530201888518405
19,42.0,0.0026353401030974055,-41.0,16.677181699666562
20,49.0,0.003054365591651731,-48.0,15.0094635296999
21,105.0,0.0064562626516817545,-401.0,13.50851717672991
22,33.0,0.002043831284481712,67.0,12.157665459056915
23,34.0,0.0021130810973772896,66.0,10.94189891315122
24,153.0,0.009303199405621854,-350.0,9.847709021836096
25,28.0,0.0017995333328144625,72.0,8.862938119652483
26,40.0,0.002486581245648267,-39.0,7.976644307687238
27,29.0,0.0018046629488708277,-127.0,7.178979876918518
28,64.0,0.003910690824341145,-63.0,6.461081889226662
29,57.0,0.0034846121147893427,43.0,5.8149737003039945
30,93.0,0.0057230481975238945,-686.0,5.233476330273589
31,23.0,0.00150971004177336,77.0,4.710128697246233
32,100.0,0.0062295977550093085,-297.0,4.239115827521616
33,37.0,0.002299670870797854,-36.0,3.815204244769461
34,54.0,0.0033518833065500075,-152.0,3.433683820292515
35,15.0,0.0009755887995197554,85.0,3.0903154382632607
36,45.0,0.002761015689884516,-143.0,2.781283894436939
37,50.0,0.0030607776111537532,-49.0,2.503155504993245
38,53.0,0.0032563442127866438,-151.0,2.252839954493922
39,48.0,0.0029601089017887716,-245.0,2.027555959044534
40,22.0,0.0014279567908488389,78.0,1.8248003631400849
41,69.0,0.004276496549664444,-563.0,1.6423203268260806
42,40.0,0.0025314653835266654,60.0,1.4780882941434754
43,50.0,0.0030982879266048258,-148.0,1.3302794647291307
