episode,length,time,reward,delta
0,386.0,0.03040804169859257,-2464.0,100.00074232718904
1,239.0,0.01452899547348352,-1129.0,50.000371163594515
2,267.0,0.02252157804923627,-1058.0,25.000185581797254
3,74.0,0.007284374998107523,-172.0,12.500092790898634
4,34.0,0.0021441793928715924,-33.0,6.250046395449317
5,139.0,0.009627647602883371,-1029.0,3.1250231977246585
6,108.0,0.00681116794294212,-404.0,1.5625115988623293
7,29.0,0.0018165251854043163,-28.0,0.7812557994311646
8,146.0,0.008928416853450472,-838.0,0.3906278997155823
9,25.0,0.0015824864658497972,75.0,0.19531394985779116
10,83.0,0.0052950458812119905,-82.0,0.09765697492889558
11,51.0,0.0032088952671074367,-149.0,0.04882848746444779
12,64.0,0.0040046269132290035,-261.0,0.024414243732223895
13,25.0,0.001603004928711016,75.0,0.012207121866111947
14,23.0,0.0014427044361582375,-22.0,0.006103560933055974
15,95.0,0.005957728118573868,-193.0,0.0030517804665350923
16,22.0,0.0013917288792981708,-21.0,0.0015258902332675461
17,26.0,0.0016257675993074372,74.0,0.0007629451166337731
18,28.0,0.0018835307914741861,72.0,0.00038147255831688653
19,25.0,0.0017777324660528393,75.0,0.0001907362791655487
20,27.0,0.0020220304172653414,73.0,9.536813958277435e-05
21,23.0,0.002657461571288877,-22.0,4.7684069784281746e-05
22,20.0,0.0014074383275328728,80.0,2.3842034892140873e-05
23,83.0,0.005623982492579671,-379.0,1.1921017446070437e-05
24,38.0,0.003548732311628555,-37.0,5.960508730140646e-06
25,52.0,0.00806215298916868,48.0,2.980254365070323e-06
26,20.0,0.0033178996018250473,80.0,1.490127175429734e-06
27,26.0,0.003063021817979461,74.0,7.45063587714867e-07
28,49.0,0.0036019520753143297,-48.0,3.7253178675200616e-07
29,74.0,0.005139233802310628,-172.0,1.8626589337600308e-07
30,124.0,0.0077623910678994434,-420.0,9.313293958257418e-08
31,77.0,0.004763168845784094,-373.0,4.656646979128709e-08
32,27.0,0.0017116886629082728,73.0,2.3283234895643545e-08
33,25.0,0.0015699830273661064,75.0,1.1641617447821773e-08
34,22.0,0.00137922544081448,78.0,5.820808723910886e-09
35,23.0,0.0014398190273823275,77.0,2.9104114673828008e-09
36,41.0,0.0025260151669499464,59.0,1.4552057336914004e-09
37,22.0,0.0014067971255826706,-120.0,7.275957614183426e-10
38,16.0,0.0010371441890129063,84.0,3.637978807091713e-10
39,65.0,0.004047266844736441,-262.0,1.8189894035458565e-10
40,17.0,0.0011968034800702299,83.0,9.094947017729282e-11
