episode,length,time,reward,delta
0,129.0,0.008324083994921239,-29.0,100.0
1,420.0,0.02642585685407539,-1607.0,10.0
2,188.0,0.011952004750128253,-385.0,1.0
3,60.0,0.0037212156421446707,40.0,0.09999999999999432
4,52.0,0.003249932192829874,48.0,0.010000000000005116
5,143.0,0.00902459714870929,-340.0,0.0010000000000047748
6,26.0,0.0016507744758200715,74.0,0.00010000000000331966
7,26.0,0.00168347577618988,74.0,1.0000000003174137e-05
8,48.0,0.0030524419858011242,52.0,9.999999974752427e-07
9,44.0,0.002778969344944926,-43.0,9.999999406318238e-08
10,36.0,0.0022791524079366354,64.0,9.999993721976352e-09
11,24.0,0.0015526705742558988,76.0,1.0000036354540498e-09
12,20.0,0.0013426769282887108,80.0,1.000017846308765e-10
13,18.0,0.0012509850462265604,82.0,1.000444171950221e-11
14,25.0,0.0016741783479119476,75.0,9.947598300641403e-13
15,20.0,0.001291380770453543,80.0,9.947598300641403e-14
16,35.0,0.002200605166308378,65.0,1.4210854715202004e-14
17,16.0,0.0010579832528492261,84.0,0.0
18,12.0,0.0008188149176930892,88.0,0.0
19,18.0,0.0011907120610885613,82.0,0.0
20,18.0,0.0011753232138289604,-17.0,0.0
21,12.0,0.0008085556860351062,88.0,0.0
22,19.0,0.0012699005046670209,-18.0,0.0
23,16.0,0.001031052770485985,84.0,0.0
24,12.0,0.0007992582573024265,88.0,0.0
25,14.0,0.0009153158143817564,86.0,0.0
26,16.0,0.0010602274601296813,84.0,0.0
27,14.0,0.0009114686022257956,86.0,0.0
28,26.0,0.0026452787337802874,-124.0,0.0
29,18.0,0.0012782361300196499,-17.0,0.0
30,12.0,0.0008207385239984433,88.0,0.0
31,16.0,0.0010496476274965971,84.0,0.0
32,15.0,0.0009634059620111657,85.0,0.0
33,12.0,0.0008075938831098028,88.0,0.0
34,12.0,0.0008685080701980041,88.0,0.0
35,14.0,0.0009364754791931773,86.0,0.0
36,19.0,0.0013256850761536043,81.0,0.0
37,12.0,0.0008784467013356334,88.0,0.0
38,16.0,0.0010650364752109454,84.0,0.0
39,14.0,0.0009803978141462721,86.0,0.0
40,12.0,0.0008406157844547124,88.0,0.0
41,14.0,0.0009691767800177331,86.0,0.0
42,16.0,0.0011275536671746522,84.0,0.0
43,21.0,0.0014016675099810527,-20.0,0.0
44,14.0,0.0009159570163319586,86.0,0.0
45,12.0,0.0008043878729040443,88.0,0.0
46,12.0,0.0007979758538567694,88.0,0.0
47,13.0,0.0009412844942744414,87.0,0.0
48,19.0,0.001225978169713926,81.0,0.0
49,12.0,0.0008194561196432915,88.0,0.0
50,12.0,0.0007973346514518198,88.0,0.0
51,12.0,0.0008133647006616229,88.0,0.0
52,16.0,0.0010958141697301471,84.0,0.0
53,13.0,0.0008800497057563916,87.0,0.0
54,12.0,0.0008431805927102687,88.0,0.0
55,12.0,0.0008120822972159658,88.0,0.0
56,25.0,0.0015674182195652975,-123.0,0.0
57,14.0,0.0012711829085674253,86.0,0.0
58,12.0,0.0011205004452676803,88.0,0.0
59,13.0,0.0011019055882570683,87.0,0.0
60,13.0,0.0011926356673939154,-12.0,0.0
61,14.0,0.0009265368489650427,86.0,0.0
62,12.0,0.0008063114792093984,88.0,0.0
63,12.0,0.0008393333810090553,88.0,0.0
64,12.0,0.0007893196270742919,88.0,0.0
65,12.0,0.0008287535479212238,88.0,0.0
66,12.0,0.0007998994592526287,88.0,0.0
67,23.0,0.0014959241993892647,-22.0,0.0
68,12.0,0.0008444629966106731,88.0,0.0
69,14.0,0.0009621235581107612,86.0,0.0
70,24.0,0.0016030049291657633,-23.0,0.0
71,12.0,0.0007918844348751009,88.0,0.0
72,14.0,0.0010278467602802266,86.0,0.0
73,21.0,0.001397820297825092,-20.0,0.0
74,12.0,0.0008085556860351062,88.0,0.0
75,12.0,0.00082843294740087,88.0,0.0
76,12.0,0.0008521574204678473,88.0,0.0
